SCI;NO;EN
Pauxi koepckeae;sirahokko;Sira Curassow
Crax rubra;storhokko;Great Curassow
Crax alberti;blåknopphokko;Blue-billed Curassow
Crax daubentoni;gulknopphokko;Yellow-knobbed Curassow
Crax alector;trollhokko;Black Curassow
Crax globulosa;rødknopphokko;Wattled Curassow
Crax fasciolata;krøllhokko;Bare-faced Curassow
Crax blumenbachii;krushokko;Red-billed Curassow
Agelastes meleagrides;hvitbrystperlehøne;White-breasted Guineafowl
Agelastes niger;svartperlehøne;Black Guineafowl
Numida meleagris;hjelmperlehøne;Helmeted Guineafowl
Guttera plumifera;bustperlehøne;Plumed Guineafowl
Guttera verreauxi;blåhodeperlehøne;Western Crested Guineafowl
Guttera pucherani;rødmaskeperlehøne;Eastern Crested Guineafowl
Guttera edouardi;blåmaskeperlehøne;Southern Crested Guineafowl
Acryllium vulturinum;gribbperlehøne;Vulturine Guineafowl
Ptilopachus petrosus;klatrehøne;Stone Partridge
Ptilopachus nahani;iturihøne;Nahan's Partridge
Dendrortyx leucophrys;hvitstrupeskogvaktel;Buffy-crowned Wood Partridge
Dendrortyx macroura;svartstrupeskogvaktel;Long-tailed Wood Partridge
Dendrortyx barbatus;gråstrupeskogvaktel;Bearded Wood Partridge
Oreortyx pictus;spirvaktel;Mountain Quail
Callipepla squamata;skjellvaktel;Scaled Quail
Callipepla douglasii;sinaloavaktel;Elegant Quail
Callipepla californica;kaliforniavaktel;California Quail
Callipepla gambelii;svartbukvaktel;Gambel's Quail
Philortyx fasciatus;båndvaktel;Banded Quail
Colinus virginianus;nordkrattvaktel;Northern Bobwhite
Colinus nigrogularis;mayakrattvaktel;Yucatan Bobwhite
Colinus leucopogon;costaricakrattvaktel;Spot-bellied Bobwhite
Colinus cristatus;sørkrattvaktel;Crested Bobwhite
Odontophorus gujanensis;bruntannvaktel;Marbled Wood Quail
Odontophorus capueira;gråtannvaktel;Spot-winged Wood Quail
Odontophorus melanotis;svartkinntannvaktel;Black-eared Wood Quail
Odontophorus erythrops;rustpannetannvaktel;Rufous-fronted Wood Quail
Odontophorus atrifrons;masketannvaktel;Black-fronted Wood Quail
Odontophorus hyperythrus;kastanjetannvaktel;Chestnut Wood Quail
Odontophorus melanonotus;mørkryggtannvaktel;Dark-backed Wood Quail
Odontophorus speciosus;rustbrysttannvaktel;Rufous-breasted Wood Quail
