SCI;NO;EN
Ficedula henrici;damarfluesnapper;Damar Flycatcher
Tarsiger indicus;hvitbrynskvett;White-browed Bush Robin
Tarsiger formosanus;taiwanskvett;Taiwan Bush Robin
Tarsiger chrysaeus;gullskvett;Golden Bush Robin
Tarsiger johnstoniae;krageskvett;Collared Bush Robin
Tarsiger hyperythrus;rododendronskvett;Rufous-breasted Bush Robin
Tarsiger cyanurus;blåstjert;Red-flanked Bluetail
Tarsiger albocoeruleus;asurstjert;Qilian Bluetail
Tarsiger rufilatus;himalayablåstjert;Himalayan Bluetail
Heteroxenicus stellatus;stjernekortvinge;Gould's Shortwing
Phoenicurus erythronotus;altairødstjert;Eversmann's Redstart
Phoenicurus frontalis;blåhoderødstjert;Blue-fronted Redstart
Phoenicurus coeruleocephala;blåkronerødstjert;Blue-capped Redstart
Phoenicurus schisticeps;hvitstruperødstjert;White-throated Redstart
Phoenicurus fuliginosus;blyrødstjert;Plumbeous Water Redstart
Phoenicurus bicolor;kaskaderødstjert;Luzon Water Redstart
Phoenicurus leucocephalus;strømrødstjert;White-capped Redstart
Phoenicurus alaschanicus;alashanrødstjert;Przevalski's Redstart
Phoenicurus ochruros;svartrødstjert;Black Redstart
Phoenicurus phoenicurus;rødstjert;Common Redstart
Phoenicurus moussieri;diademrødstjert;Moussier's Redstart
Phoenicurus auroreus;aurorarødstjert;Daurian Redstart
Phoenicurus hodgsoni;kinarødstjert;Hodgson's Redstart
Phoenicurus erythrogastrus;hvitvingerødstjert;Güldenstädt's Redstart
Monticola cinclorhyncha;blåstrupesteintrost;Blue-capped Rock Thrush
Monticola gularis;hvitstrupesteintrost;White-throated Rock Thrush
Monticola rufiventris;kastanjebuksteintrost;Chestnut-bellied Rock Thrush
Monticola brevipes;sølvpannesteintrost;Short-toed Rock Thrush
Monticola explorator;vaktsteintrost;Sentinel Rock Thrush
Monticola erythronotus;ambohitrasteintrost;Amber Mountain Rock Thrush
Monticola sharpei;skogsteintrost;Forest Rock Thrush
Monticola imerina;kyststeintrost;Littoral Rock Thrush
Monticola rufocinereus;dvergsteintrost;Little Rock Thrush
Monticola saxatilis;steintrost;Common Rock Thrush
Monticola solitarius;blåtrost;Blue Rock Thrush
Monticola rupestris;kappsteintrost;Cape Rock Thrush
Monticola angolensis;miombosteintrost;Miombo Rock Thrush
Monticola semirufus;etiopiaklippeskvett;White-winged Cliff Chat
Saxicola jerdoni;gresskvett;Jerdon's Bush Chat
Saxicola ferreus;jernskvett;Grey Bush Chat
Saxicola rubetra;buskskvett;Whinchat
Saxicola macrorhynchus;ørkenbuskskvett;White-browed Bush Chat
Saxicola gutturalis;timorskvett;White-bellied Bush Chat
Saxicola caprata;svartskvett;Pied Bush Chat
Saxicola insignis;mongolbuskskvett;White-throated Bush Chat
Saxicola leucurus;hvitstjertsvartstrupe;White-tailed Stonechat
Saxicola stejnegeri;taigasvartstrupe;Amur Stonechat
Saxicola torquatus;afrikasvartstrupe;African Stonechat
Saxicola sibilla;smykkesvartstrupe;Madagascar Stonechat
Saxicola tectes;reunionsvartstrupe;Reunion Stonechat
Saxicola maurus;russesvartstrupe;Siberian Stonechat
Saxicola rubicola;svartstrupe;European Stonechat
Saxicola dacotiae;kanariskvett;Canary Islands Stonechat
Campicoloides bifasciatus;okerskvett;Buff-streaked Chat
Emarginata schlegelii;karooskvett;Karoo Chat
Emarginata tractrac;traktrakskvett;Tractrac Chat
Emarginata sinuata;sinusskvett;Sickle-winged Chat
Pinarochroa sordida;bergskvett;Moorland Chat
Thamnolaea cinnamomeiventris;sangklippeskvett;Mocking Cliff Chat
Thamnolaea coronata;kronklippeskvett;White-crowned Cliff Chat
Myrmecocichla aethiops;termittskvett;Anteater Chat
Myrmecocichla tholloni;billeskvett;Congo Moor Chat
Myrmecocichla formicivora;maurskvett;Ant-eating Chat
Myrmecocichla monticola;hvitvingesteinskvett;Mountain Chat
Myrmecocichla nigra;sotskvett;Sooty Chat
Myrmecocichla melaena;bekskvett;Rüppell's Black Chat
Myrmecocichla collaris;ruahaskvett;Ruaha Chat
Myrmecocichla arnotti;hvitkroneskvett;Arnot's Chat
Oenanthe oenanthe;steinskvett;Northern Wheatear
Oenanthe seebohmi;atlassteinskvett;Atlas Wheatear
Oenanthe pileata;beltesteinskvett;Capped Wheatear
Oenanthe bottae;kanelbryststeinskvett;Buff-breasted Wheatear
Oenanthe frenata;rustbryststeinskvett;Rusty-breasted Wheatear
Oenanthe isabellina;isabellasteinskvett;Isabelline Wheatear
Oenanthe heuglinii;sahelsteinskvett;Heuglin's Wheatear
Oenanthe monacha;munkesteinskvett;Hooded Wheatear
Oenanthe deserti;ørkensteinskvett;Desert Wheatear
Oenanthe hispanica;punersteinskvett;Western Black-eared Wheatear
Oenanthe pleschanka;svartstrupesteinskvett;Pied Wheatear
Oenanthe melanoleuca;tyrkersteinskvett;Eastern Black-eared Wheatear
Oenanthe cypriaca;kyprossteinskvett;Cyprus Wheatear
Oenanthe albifrons;hvitpanneskvett;White-fronted Black Chat
Oenanthe phillipsi;somalisteinskvett;Somali Wheatear
Oenanthe moesta;berbersteinskvett;Red-rumped Wheatear
Oenanthe melanura;svartstjert;Blackstart
Oenanthe familiaris;ruststjert;Familiar Chat
Oenanthe scotocerca;brunstjert;Brown-tailed Rock Chat
Oenanthe dubia;afarskvett;Sombre Rock Chat
Oenanthe fusca;brunskvett;Brown Rock Chat
Oenanthe picata;persersteinskvett;Variable Wheatear
Oenanthe finschii;hvitryggsteinskvett;Finsch's Wheatear
Oenanthe halophila;ravinesteinskvett;Maghreb Wheatear
Oenanthe lugens;sørgesteinskvett;Mourning Wheatear
Oenanthe warriae;basaltsteinskvett;Basalt Wheatear
Oenanthe xanthoprymna;rustgumpsteinskvett;Kurdish Wheatear
Oenanthe chrysopygia;ruststjertsteinskvett;Red-tailed Wheatear
Oenanthe leucopyga;hvitkronesteinskvett;White-crowned Wheatear
Oenanthe albonigra;nonnesteinskvett;Hume's Wheatear
Oenanthe leucura;svartsteinskvett;Black Wheatear
Oenanthe lugentoides;wadisteinskvett;Arabian Wheatear
Oenanthe lugubris;sotsteinskvett;Abyssinian Wheatear
Cinclus cinclus;fossekall;White-throated Dipper
Cinclus pallasii;brunfossekall;Brown Dipper
Cinclus mexicanus;gråfossekall;American Dipper
Cinclus leucocephalus;andesfossekall;White-capped Dipper
Cinclus schulzii;ruststrupefossekall;Rufous-throated Dipper
Chloropsis flavipennis;gulhakebladfugl;Philippine Leafbird
Chloropsis palawanensis;gulstrupebladfugl;Yellow-throated Leafbird
Chloropsis sonnerati;smaragdbladfugl;Greater Green Leafbird
Chloropsis cyanopogon;grønnbladfugl;Lesser Green Leafbird
Chloropsis moluccensis;blåvingebladfugl;Blue-winged Leafbird
Chloropsis cochinchinensis;javablafugl;Javan Leafbird
Chloropsis kinabaluensis;kinabalubladfugl;Bornean Leafbird
Chloropsis jerdoni;hindubladfugl;Jerdon's Leafbird
Chloropsis aurifrons;gyllenpannebladfugl;Golden-fronted Leafbird
Chloropsis media;gulpannebladfugl;Sumatran Leafbird
Chloropsis hardwickii;oransjebukbladfugl;Orange-bellied Leafbird
Chloropsis venusta;regnbuebladfugl;Blue-masked Leafbird
Prionochilus olivaceus;olivenryggblomsterfugl;Olive-backed Flowerpecker
Prionochilus maculatus;grønnstripeblomsterfugl;Yellow-breasted Flowerpecker
Prionochilus percussus;karminbrystblomsterfugl;Crimson-breasted Flowerpecker
Prionochilus plateni;palawanblomsterfugl;Palawan Flowerpecker
Prionochilus xanthopygius;gulgumpblomsterfugl;Yellow-rumped Flowerpecker
Prionochilus thoracicus;svarthodeblomsterfugl;Scarlet-breasted Flowerpecker
Dicaeum dayakorum;brilleblomsterfugl;Spectacled Flowerpecker
Dicaeum annae;sitrongumpblomsterfugl;Golden-rumped Flowerpecker
Dicaeum agile;tykknebblomsterfugl;Thick-billed Flowerpecker
Dicaeum aeruginosum;brunstripeblomsterfugl;Striped Flowerpecker
Dicaeum everetti;brunblomsterfugl;Brown-backed Flowerpecker
Dicaeum proprium;skjeggblomsterfugl;Whiskered Flowerpecker
Dicaeum chrysorrheum;svartstripeblomsterfugl;Yellow-vented Flowerpecker
Dicaeum melanozanthum;gulbukblomsterfugl;Yellow-bellied Flowerpecker
Dicaeum vincens;hvitbrystblomsterfugl;Legge's Flowerpecker
Dicaeum aureolimbatum;gulsideblomsterfugl;Yellow-sided Flowerpecker
Dicaeum nigrilore;tøyleblomsterfugl;Olive-capped Flowerpecker
Dicaeum anthonyi;gulkroneblomsterfugl;Yellow-crowned Flowerpecker
Dicaeum kampalili;ildkroneblomsterfugl;Flame-crowned Flowerpecker
Dicaeum bicolor;mørkryggblomsterfugl;Bicolored Flowerpecker
Dicaeum australe;rødkjølblomsterfugl;Red-keeled Flowerpecker
Dicaeum haematostictum;blodflekkblomsterfugl;Black-belted Flowerpecker
Dicaeum retrocinctum;rødnakkeblomsterfugl;Scarlet-collared Flowerpecker
Dicaeum quadricolor;cebublomsterfugl;Cebu Flowerpecker
Dicaeum trigonostigma;ildbukblomsterfugl;Orange-bellied Flowerpecker
Dicaeum hypoleucum;lysbukblomsterfugl;Buzzing Flowerpecker
Dicaeum erythrorhynchos;bleknebblomsterfugl;Pale-billed Flowerpecker
Dicaeum concolor;malabarblomsterfugl;Nilgiri Flowerpecker
Dicaeum minullum;olivenblomsterfugl;Plain Flowerpecker
Dicaeum virescens;svovelblomsterfugl;Andaman Flowerpecker
Dicaeum pygmaeum;dvergblomsterfugl;Pygmy Flowerpecker
Dicaeum nehrkorni;karminkroneblomsterfugl;Crimson-crowned Flowerpecker
Dicaeum erythrothorax;rødplettblomsterfugl;Buru Flowerpecker
Dicaeum schistaceiceps;gråhodeblomsterfugl;Halmahera Flowerpecker
Dicaeum vulneratum;globlomsterfugl;Ashy Flowerpecker
Dicaeum pectorale;irianblomsterfugl;Olive-crowned Flowerpecker
Dicaeum geelvinkianum;rødkroneblomsterfugl;Red-capped Flowerpecker
Dicaeum nitidum;louisiadeblomsterfugl;Louisiade Flowerpecker
Dicaeum eximium;bismarckblomsterfugl;Red-banded Flowerpecker
Dicaeum aeneum;salomonblomsterfugl;Midget Flowerpecker
Dicaeum tristrami;makirablomsterfugl;Mottled Flowerpecker
Dicaeum igniferum;fakkelblomsterfugl;Black-fronted Flowerpecker
Dicaeum maugei;praktblomsterfugl;Red-chested Flowerpecker
Dicaeum keiense;aprikosblomsterfugl;Pink-breasted Flowerpecker
Dicaeum hirundinaceum;mistelteinfugl;Mistletoebird
Dicaeum celebicum;gråsideblomsterfugl;Grey-sided Flowerpecker
Dicaeum monticolum;belteblomsterfugl;Black-sided Flowerpecker
Dicaeum ignipectus;juvelblomsterfugl;Fire-breasted Flowerpecker
Dicaeum cambodianum;khmerblomsterfugl;Cambodian Flowerpecker
Dicaeum beccarii;ferskenblomsterfugl;Sumatran Flowerpecker
Dicaeum luzoniense;rødsmekkeblomsterfugl;Fire-throated Flowerpecker
Dicaeum sanguinolentum;blodbrystblomsterfugl;Javan Flowerpecker
Dicaeum rhodopygiale;sandbukblomsterfugl;Flores Flowerpecker
Dicaeum wilhelminae;gråbukblomsterfugl;Sumba Flowerpecker
Dicaeum hanieli;krembukblomsterfugl;Timor Flowerpecker
Dicaeum cruentatum;rødryggblomsterfugl;Scarlet-backed Flowerpecker
Dicaeum trochileum;rødhodeblomsterfugl;Scarlet-headed Flowerpecker
Chalcoparia singalensis;rødkinnsolfugl;Ruby-cheeked Sunbird
Deleornis fraseri;skarlagendusksolfugl;Fraser's Sunbird
Deleornis axillaris;gråhodesolfugl;Grey-headed Sunbird
Anthreptes reichenowi;smekkesolfugl;Plain-backed Sunbird
Anthreptes anchietae;palettsolfugl;Anchieta's Sunbird
Anthreptes simplex;glanspannesolfugl;Plain Sunbird
Anthreptes malacensis;malaysolfugl;Brown-throated Sunbird
Anthreptes griseigularis;gråstrupesolfugl;Grey-throated Sunbird
Anthreptes rhodolaemus;rosenstrupesolfugl;Red-throated Sunbird
Anthreptes gabonicus;brunsolfugl;Mangrove Sunbird
Anthreptes longuemarei;fiolettryggsolfugl;Western Violet-backed Sunbird
Anthreptes orientalis;tornsolfugl;Eastern Violet-backed Sunbird
Anthreptes neglectus;swahilisolfugl;Uluguru Violet-backed Sunbird
Anthreptes aurantius;fiolettstjertsolfugl;Violet-tailed Sunbird
Anthreptes seimundi;grønnsolfugl;Little Green Sunbird
Anthreptes rectirostris;smaragdsolfugl;Yellow-chinned Sunbird
Anthreptes tephrolaemus;askestrupesolfugl;Grey-chinned Sunbird
Anthreptes rubritorques;rødbåndsolfugl;Banded Green Sunbird
Hedydipna collaris;smykkesolfugl;Collared Sunbird
Hedydipna platura;vimpelsolfugl;Pygmy Sunbird
Hedydipna metallica;nilsolfugl;Nile Valley Sunbird
Hedydipna pallidigaster;hvitbuksolfugl;Amani Sunbird
Anabathmis reichenbachii;skjellryggsolfugl;Reichenbach's Sunbird
Anabathmis hartlaubii;principesolfugl;Principe Sunbird
Anabathmis newtonii;saotomesolfugl;Newton's Sunbird
Dreptes thomensis;kjempesolfugl;Giant Sunbird
Anthobaphes violacea;fynbossolfugl;Orange-breasted Sunbird
Cyanomitra verticalis;grønnhodesolfugl;Green-headed Sunbird
Cyanomitra bannermani;beryllhodesolfugl;Bannerman's Sunbird
Cyanomitra cyanolaema;blåstrupesolfugl;Blue-throated Brown Sunbird
Cyanomitra oritis;kamerunsolfugl;Cameroon Sunbird
Cyanomitra alinae;blåhodesolfugl;Blue-headed Sunbird
Cyanomitra olivacea;olivensolfugl;Olive Sunbird
Cyanomitra veroxii;gråsolfugl;Grey Sunbird
Chalcomitra adelberti;kremstrupesolfugl;Buff-throated Sunbird
Chalcomitra fuliginosa;karmelittsolfugl;Carmelite Sunbird
Chalcomitra rubescens;grønnstrupesolfugl;Green-throated Sunbird
Chalcomitra amethystina;ametystsolfugl;Amethyst Sunbird
Chalcomitra senegalensis;skarlagenbrystsolfugl;Scarlet-chested Sunbird
Chalcomitra hunteri;rubinsolfugl;Hunter's Sunbird
Chalcomitra balfouri;sokotrasolfugl;Socotra Sunbird
Leptocoma zeylonica;purpurgumpsolfugl;Purple-rumped Sunbird
Leptocoma minima;malabarsolfugl;Crimson-backed Sunbird
Leptocoma sperata;purpurstrupesolfugl;Purple-throated Sunbird
Leptocoma brasiliana;karminbrystsolfugl;Van Hasselt's Sunbird
Leptocoma aspasia;fløyelssolfugl;Black Sunbird
Leptocoma calcostetha;kobberstrupesolfugl;Copper-throated Sunbird
Nectarinia bocagii;fiolettsolfugl;Bocage's Sunbird
Nectarinia purpureiventris;regnbuesolfugl;Purple-breasted Sunbird
Nectarinia tacazze;purpurkappesolfugl;Tacazze Sunbird
Nectarinia kilimensis;bronsesolfugl;Bronze Sunbird
Nectarinia famosa;malakittsolfugl;Malachite Sunbird
Nectarinia johnstoni;lobeliasolfugl;Scarlet-tufted Sunbird
Drepanorhynchus reichenowi;gullvingesolfugl;Golden-winged Sunbird
Cinnyris chloropygius;olivenbuksolfugl;Olive-bellied Sunbird
Cinnyris minullus;dvergsolfugl;Tiny Sunbird
Cinnyris manoensis;miombosolfugl;Eastern Miombo Sunbird
Cinnyris gertrudis;trillesolfugl;Western Miombo Sunbird
Cinnyris chalybeus;kappsolfugl;Southern Double-collared Sunbird
Cinnyris neergaardi;thongasolfugl;Neergaard's Sunbird
Cinnyris stuhlmanni;rwenzorisolfugl;Rwenzori Double-collared Sunbird
Cinnyris whytei;nyikasolfugl;Whyte's Double-collared Sunbird
Cinnyris prigoginei;marungusolfugl;Prigogine's Double-collared Sunbird
Cinnyris ludovicensis;bergsolfugl;Ludwig's Double-collared Sunbird
Cinnyris reichenowi;lundsolfugl;Northern Double-collared Sunbird
Cinnyris afer;bredbeltesolfugl;Greater Double-collared Sunbird
Cinnyris regius;kongesolfugl;Regal Sunbird
Cinnyris rockefelleri;bambussolfugl;Rockefeller's Sunbird
Cinnyris mediocris;mellomsolfugl;Eastern Double-collared Sunbird
Cinnyris usambaricus;usambarasolfugl;Usambara Double-collared Sunbird
Cinnyris fuelleborni;malawisolfugl;Forest Double-collared Sunbird
Cinnyris moreaui;udzungwasolfugl;Moreau's Sunbird
Cinnyris loveridgei;ulugurusolfugl;Loveridge's Sunbird
Cinnyris pulchellus;fagersolfugl;Beautiful Sunbird
Cinnyris melanogastrus;juvelsolfugl;Gorgeous Sunbird
Cinnyris mariquensis;akasiesolfugl;Marico Sunbird
Cinnyris shelleyi;bladsolfugl;Shelley's Sunbird
Cinnyris hofmanni;tanzaniasolfugl;Hofmann's Sunbird
Cinnyris congensis;kongosolfugl;Congo Sunbird
Cinnyris erythrocercus;rødbrystsolfugl;Red-chested Sunbird
Cinnyris nectarinioides;elvesolfugl;Black-bellied Sunbird
Cinnyris bifasciatus;purpurbåndsolfugl;Purple-banded Sunbird
Cinnyris tsavoensis;tsavosolfugl;Tsavo Sunbird
Cinnyris chalcomelas;kystsolfugl;Violet-breasted Sunbird
Cinnyris pembae;pembasolfugl;Pemba Sunbird
Cinnyris bouvieri;tistelsolfugl;Orange-tufted Sunbird
Cinnyris osea;palestinasolfugl;Palestine Sunbird
Cinnyris hellmayri;arabiasolfugl;Arabian Sunbird
Cinnyris habessinicus;glanssolfugl;Abyssinian Sunbird
Cinnyris coccinigastrus;praktsolfugl;Splendid Sunbird
Cinnyris johannae;jungelsolfugl;Johanna's Sunbird
Cinnyris superbus;edelsolfugl;Superb Sunbird
Cinnyris rufipennis;rødvingesolfugl;Rufous-winged Sunbird
Cinnyris oustaleti;krattsolfugl;Oustalet's Sunbird
Cinnyris talatala;talatalasolfugl;White-bellied Sunbird
Cinnyris venustus;venussolfugl;Variable Sunbird
Cinnyris fuscus;dunkelsolfugl;Dusky Sunbird
Cinnyris ursulae;skogsolfugl;Ursula's Sunbird
Cinnyris batesi;alvesolfugl;Bates's Sunbird
Cinnyris cupreus;kobbersolfugl;Copper Sunbird
Cinnyris asiaticus;purpursolfugl;Purple Sunbird
Cinnyris ornatus;parksolfugl;Ornate Sunbird
Cinnyris jugularis;olivenryggsolfugl;Garden Sunbird
Cinnyris aurora;aurorasolfugl;Palawan Sunbird
Cinnyris frenatus;gulskjeggsolfugl;Sahul Sunbird
Cinnyris infrenatus;tukangbesisolfugl;Tukangbesi Sunbird
Cinnyris teysmanni;kokssolfugl;Flores Sea Sunbird
Cinnyris clementiae;svartbuksolfugl;South Moluccan Sunbird
Cinnyris idenburgi;sotsolfugl;Mamberamo Sunbird
Cinnyris buettikoferi;sumbasolfugl;Apricot-breasted Sunbird
Cinnyris solaris;flammebrystsolfugl;Flame-breasted Sunbird
Cinnyris sovimanga;sovimangasolfugl;Souimanga Sunbird
Cinnyris notatus;madagaskarsolfugl;Malagasy Green Sunbird
Cinnyris dussumieri;seychellsolfugl;Seychelles Sunbird
Cinnyris humbloti;vinbrystsolfugl;Humblot's Sunbird
Cinnyris comorensis;anjouansolfugl;Anjouan Sunbird
Cinnyris coquerellii;mayottesolfugl;Mayotte Sunbird
Cinnyris lotenius;langnebbsolfugl;Loten's Sunbird
Aethopyga primigenia;gråhettesolfugl;Grey-hooded Sunbird
Aethopyga boltoni;grønnpannesolfugl;Apo Sunbird
Aethopyga linaraborae;beryllpannesolfugl;Lina's Sunbird
Aethopyga flagrans;gnistsolfugl;Flaming Sunbird
Aethopyga guimarasensis;maronnakkesolfugl;Maroon-naped Sunbird
Aethopyga pulcherrima;grønnknokesolfugl;Metallic-winged Sunbird
Aethopyga duyvenbodei;paradissolfugl;Elegant Sunbird
Aethopyga shelleyi;prydsolfugl;Lovely Sunbird
Aethopyga bella;brudesolfugl;Handsome Sunbird
Aethopyga gouldiae;purpurkronesolfugl;Mrs. Gould's Sunbird
Aethopyga nipalensis;grønnstjertsolfugl;Green-tailed Sunbird
Aethopyga eximia;hvitflankesolfugl;White-flanked Sunbird
Aethopyga christinae;gaffelsolfugl;Fork-tailed Sunbird
Aethopyga saturata;svartstrupesolfugl;Black-throated Sunbird
Aethopyga siparaja;karminsolfugl;Crimson Sunbird
Aethopyga magnifica;visaysolfugl;Magnificent Sunbird
Aethopyga vigorsii;rødsolfugl;Vigors's Sunbird
Aethopyga mystacalis;javasolfugl;Javan Sunbird
Aethopyga temminckii;skarlagensolfugl;Temminck's Sunbird
Aethopyga ignicauda;ildstjertsolfugl;Fire-tailed Sunbird
Kurochkinegramma hypogrammicum;purpurnakkeedderkoppjeger;Purple-naped Spiderhunter
Arachnothera longirostra;dvergedderkoppjeger;Little Spiderhunter
Arachnothera flammifera;ildduskedderkoppjeger;Orange-tufted Spiderhunter
Arachnothera dilutior;blekedderkoppjeger;Pale Spiderhunter
Arachnothera crassirostris;tykknebbedderkoppjeger;Thick-billed Spiderhunter
Arachnothera robusta;langnebbedderkoppjeger;Long-billed Spiderhunter
Arachnothera flavigaster;brilleedderkoppjeger;Spectacled Spiderhunter
Arachnothera chrysogenys;gulkinnedderkoppjeger;Yellow-eared Spiderhunter
Arachnothera clarae;nakenkinnedderkoppjeger;Naked-faced Spiderhunter
Arachnothera modesta;gråedderkoppjeger;Grey-breasted Spiderhunter
Arachnothera affinis;sundaedderkoppjeger;Streaky-breasted Spiderhunter
Arachnothera everetti;borneoedderkoppjeger;Bornean Spiderhunter
Arachnothera magna;stripeedderkoppjeger;Streaked Spiderhunter
Arachnothera juliae;gulgumpedderkoppjeger;Whitehead's Spiderhunter
Hypocryptadius cinnamomeus;rustøye;Cinnamon Ibon
Carpospiza brachydactyla;bleksteinspurv;Pale Rockfinch
Petronia petronia;steinspurv;Rock Sparrow
Onychostruthus taczanowskii;hvitgumpfjellspurv;White-rumped Snowfinch
Montifringilla henrici;tibetfjellspurv;Tibetan Snowfinch
Montifringilla nivalis;fjellspurv;White-winged Snowfinch
Montifringilla adamsi;svartvingefjellspurv;Black-winged Snowfinch
Pyrgilauda theresae;afghanfjellspurv;Afghan Snowfinch
Pyrgilauda ruficollis;brunørefjellspurv;Rufous-necked Snowfinch
Pyrgilauda davidiana;gobifjellspurv;Pere David's Snowfinch
Pyrgilauda blanfordi;hvitkinnfjellspurv;Blanford's Snowfinch
Gymnoris pyrgita;savannesteinspurv;Yellow-spotted Bush Sparrow
Gymnoris superciliaris;bantusteinspurv;Yellow-throated Bush Sparrow
Gymnoris dentata;krattsteinspurv;Sahel Bush Sparrow
Gymnoris xanthocollis;gulstrupesteinspurv;Yellow-throated Sparrow
Passer melanurus;boerspurv;Cape Sparrow
Passer eminibey;brunspurv;Chestnut Sparrow
Passer cordofanicus;kordofanspurv;Kordofan Sparrow
Passer shelleyi;savannespurv;Shelley's Sparrow
Passer rufocinctus;masaispurv;Kenya Sparrow
Passer motitensis;akasiespurv;Great Sparrow
Passer griseus;landsbyspurv;Northern Grey-headed Sparrow
Passer swainsonii;askespurv;Swainson's Sparrow
Passer suahelicus;swahilispurv;Swahili Sparrow
Passer gongonensis;tykknebbspurv;Parrot-billed Sparrow
Passer diffusus;kraalspurv;Southern Grey-headed Sparrow
Passer pyrrhonotus;indusspurv;Sind Sparrow
Passer cinnamomeus;kanelspurv;Russet Sparrow
Passer montanus;pilfink;Eurasian Tree Sparrow
Passer ammodendri;oasespurv;Saxaul Sparrow
Passer flaveolus;thaispurv;Plain-backed Sparrow
Passer hemileucus;kurispurv;Abd al-Kuri Sparrow
Passer insularis;sokotraspurv;Socotra Sparrow
Passer hispaniolensis;middelhavsspurv;Spanish Sparrow
Passer italiae;romerspurv;Italian Sparrow
Passer domesticus;gråspurv;House Sparrow
Passer castanopterus;somalispurv;Somali Sparrow
Passer iagoensis;kappverdespurv;Iago Sparrow
Passer simplex;ørkenspurv;Desert Sparrow
Passer zarudnyi;sandspurv;Zarudny's Sparrow
Passer euchlorus;solspurv;Arabian Golden Sparrow
Passer luteus;sahelspurv;Sudan Golden Sparrow
Passer moabiticus;tamariskspurv;Dead Sea Sparrow
Bubalornis albirostris;hvitnebbøffelvever;White-billed Buffalo Weaver
Bubalornis niger;rødnebbøffelvever;Red-billed Buffalo Weaver
Dinemellia dinemelli;hvithodevever;White-headed Buffalo Weaver
Plocepasser mahali;hvitbrynvever;White-browed Sparrow-Weaver
Plocepasser superciliosus;rustkronevever;Chestnut-crowned Sparrow-Weaver
Plocepasser donaldsoni;gråvever;Donaldson Smith's Sparrow-Weaver
Plocepasser rufoscapulatus;brunryggvever;Chestnut-backed Sparrow-Weaver
Histurgops ruficauda;rødstjertvever;Rufous-tailed Weaver
Pseudonigrita arnaudi;gråkronevever;Grey-capped Social Weaver
Pseudonigrita cabanisi;svarthettevever;Black-capped Social Weaver
Philetairus socius;blokkvever;Sociable Weaver
Sporopipes squamifrons;skjeggvever;Scaly-feathered Weaver
Sporopipes frontalis;rustnakkevever;Speckle-fronted Weaver
Amblyospiza albifrons;tykknebbvever;Thick-billed Weaver
Ploceus baglafecht;bergvever;Baglafecht Weaver
Ploceus bannermani;kamerunvever;Bannerman's Weaver
Ploceus batesi;kastanjehodevever;Bates's Weaver
Ploceus nigrimentus;svartstrupevever;Black-chinned Weaver
Ploceus bertrandi;safrankronevever;Bertram's Weaver
Ploceus pelzelni;spissnebbvever;Slender-billed Weaver
Ploceus subpersonatus;cabindavever;Loango Weaver
Ploceus luteolus;dvergvever;Little Weaver
Ploceus ocularis;brillevever;Spectacled Weaver
Ploceus brachypterus;appelsinhodevever;Olive-naped Weaver
Ploceus nigricollis;svartnakkevever;Black-necked Weaver
Ploceus alienus;brunsmekkevever;Strange Weaver
Ploceus melanogaster;svartbukvever;Black-billed Weaver
Ploceus capensis;kappvever;Cape Weaver
Ploceus temporalis;olivenvever;Bocage's Weaver
Ploceus subaureus;gullvever;Eastern Golden Weaver
Ploceus xanthops;solvever;Holub's Golden Weaver
Ploceus aurantius;oransjevever;Orange Weaver
Ploceus heuglini;vestmaskevever;Heuglin's Masked Weaver
Ploceus bojeri;palmevever;Golden Palm Weaver
Ploceus castaneiceps;tavetavever;Taveta Weaver
Ploceus princeps;principevever;Principe Weaver
Ploceus castanops;kastanjestrupevever;Northern Brown-throated Weaver
Ploceus xanthopterus;brunstrupevever;Southern Brown-throated Weaver
Ploceus holoxanthus;tvillingvever;Ruvu Weaver
Ploceus burnieri;kilomberovever;Kilombero Weaver
Ploceus galbula;brunmaskevever;Rüppell's Weaver
Ploceus taeniopterus;rørvever;Northern Masked Weaver
Ploceus intermedius;småmaskevever;Lesser Masked Weaver
Ploceus velatus;svartmaskevever;Southern Masked Weaver
Ploceus katangae;katangavever;Katanga Masked Weaver
Ploceus ruweti;lufiravever;Lufira Masked Weaver
Ploceus reichardi;sumpvever;Tanzanian Masked Weaver
Ploceus vitellinus;eggeplommevever;Vitelline Masked Weaver
Ploceus spekei;akasievever;Speke's Weaver
Ploceus spekeoides;ugandavever;Fox's Weaver
Ploceus cucullatus;landsbyvever;Village Weaver
Ploceus grandis;kjempevever;Giant Weaver
Ploceus castaneofuscus;kastanjeryggvever;Chestnut-and-black Weaver
Ploceus nigerrimus;svartvever;Vieillot's Black Weaver
Ploceus weynsi;brunsidevever;Weyns's Weaver
Ploceus golandi;sokokevever;Kilifi Weaver
Ploceus dichrocephalus;jubavever;Juba Weaver
Ploceus melanocephalus;svarthodevever;Black-headed Weaver
Ploceus jacksoni;gulryggvever;Golden-backed Weaver
Ploceus badius;nilvever;Cinnamon Weaver
Ploceus rubiginosus;kastanjevever;Chestnut Weaver
Ploceus aureonucha;iturivever;Golden-naped Weaver
Ploceus tricolor;torquevever;Yellow-mantled Weaver
Ploceus albinucha;kullvever;Maxwell's Black Weaver
Ploceus nelicourvi;halsbåndvever;Nelicourvi Weaver
Ploceus sakalava;sakalavavever;Sakalava Weaver
Ploceus hypoxanthus;risvever;Asian Golden Weaver
